id|id_tipo_mov|id_conto|data_ins|data_mov|dare_avere|importo|note
2312|1|7|2023-04-21 00:25:06.827|2023-04-10|f|22|
2313|7|7|2023-04-21 00:25:28.817|2023-04-10|f|18.29|
2314|1|7|2023-04-21 00:26:01.81|2023-04-12|f|10.5|
2315|1|7|2023-04-21 00:27:40.677|2023-04-16|f|13.2|
2316|1|7|2023-04-21 00:28:26.61|2023-04-16|f|3.85|
2317|1|7|2023-04-21 00:28:50.327|2023-04-16|f|9.19|
2318|1|7|2023-04-21 00:30:31.95|2023-04-16|f|20|
2319|7|7|2023-04-21 00:31:05.223|2023-04-18|f|29.9|
2320|7|7|2023-04-21 00:31:36.78|2023-04-18|f|4|
2321|2|7|2023-04-21 00:31:54.58|2023-04-19|f|13.99|
2322|7|7|2023-04-21 00:32:13.423|2023-04-19|f|6|
2323|7|7|2023-04-21 00:32:30.363|2023-04-19|f|44.89|
2324|1|7|2023-04-21 00:32:44.4|2023-04-20|f|1.35|
2743|1|7|2024-02-06 23:12:25.223|2024-02-02|f|2.18|
2744|1|7|2024-02-06 23:12:41.593|2024-02-02|f|9|
2745|7|7|2024-02-06 23:13:21.243|2024-02-05|f|35.42|
2746|8|2|2024-02-11 18:41:23.377|2024-02-11|f|88.03|
2747|7|7|2024-02-11 18:43:01.21|2024-02-07|f|1.05|
2748|1|7|2024-02-11 18:43:15.593|2024-02-07|f|2.99|
2749|1|7|2024-02-11 18:43:28.31|2024-02-07|f|1.25|
2750|1|7|2024-02-11 18:43:45.85|2024-02-08|f|1.35|
2751|1|7|2024-02-11 18:44:07.057|2024-02-09|f|1.25|
2752|1|7|2024-02-11 18:44:20.907|2024-02-10|f|1.25|
2753|1|7|2024-02-11 18:44:34.943|2024-02-11|f|6.89|
2754|7|7|2024-02-11 18:44:50.453|2024-02-11|f|13.41|
0|5|2|2020-05-04 00:00:00|2020-01-01|t|2544.8|Cifra posseduta al 31/12/2019
2|1|2|2020-11-16 00:00:28|2020-11-07|f|55.21|
3|4|4|2020-11-16 00:37:32|2020-11-09|t|58.43|In teoria � un saldo di debito
4|1|2|2020-11-16 00:46:23|2020-11-06|f|94.37|
5|2|2|2020-11-16 00:46:49|2020-11-02|f|10|
6|4|4|2020-11-16 00:47:19|2020-11-02|t|75|In teoria � un saldo di debito
7|4|2|2020-11-16 00:47:51|2020-10-30|t|150|In teoria � un saldo di debito credito
8|1|2|2020-11-16 00:48:30|2020-10-25|f|40.49|
9|1|2|2020-11-16 00:48:58|2020-10-24|f|130|
10|1|2|2020-11-16 00:49:22|2020-10-24|f|30.65|
11|4|4|2020-11-16 00:49:53|2020-10-26|t|19|In teoria � un saldo di debito
12|1|2|2020-11-16 00:50:37|2020-10-23|f|32|
13|1|2|2020-11-16 00:51:10|2020-10-23|f|380|
14|1|2|2020-11-16 00:51:40|2020-10-20|f|11.6|
15|1|2|2020-11-16 00:52:07|2020-10-17|f|14.46|
16|1|2|2020-11-16 00:52:40|2020-10-11|f|4.49|
17|4|4|2020-11-16 00:53:13|2020-10-12|t|8|In teoria � un saldo di debito
19|1|2|2020-11-16 21:07:10|2020-09-21|f|7|
20|1|2|2020-11-16 21:11:52|2020-10-10|f|3.95|
21|1|2|2020-11-16 21:12:16|2020-10-09|f|21|
22|1|2|2020-11-16 21:14:45|2020-10-09|f|18|
23|1|2|2020-11-16 21:15:40|2020-10-08|f|12.99|
24|1|2|2020-11-16 21:16:14|2020-10-07|f|60|
25|1|2|2020-11-16 21:16:43|2020-08-07|f|15.99|
26|1|2|2020-11-16 21:22:26|2020-10-05|f|7.5|
27|1|2|2020-11-16 21:25:41|2020-10-04|f|8|
28|1|2|2020-11-16 21:26:14|2020-10-05|f|10.5|
29|1|2|2020-11-16 21:28:48|2020-10-05|f|16.88|
30|2|2|2020-11-16 21:29:09|2020-10-02|f|10|
31|1|2|2020-11-16 21:29:39|2020-10-01|f|26.5|
32|1|2|2020-11-16 21:30:18|2020-10-02|f|72.88|
33|1|2|2020-11-16 21:31:04|2020-09-30|f|8.6|
34|1|2|2020-11-16 21:31:50|2020-09-29|f|20|
35|1|2|2020-11-16 22:17:50|2020-09-22|f|150|
36|1|2|2020-11-16 22:18:23|2020-09-22|f|7.5|
37|1|2|2020-11-16 22:19:05|2020-09-19|f|8|
38|1|2|2020-11-16 22:20:21|2020-09-18|f|20|
39|1|2|2020-11-16 22:21:02|2020-09-18|f|15|
40|1|2|2020-11-16 22:21:38|2020-09-15|f|6|
41|1|2|2020-11-16 22:22:02|2020-09-14|f|30|
42|1|2|2020-11-16 22:22:30|2020-09-14|f|12|
43|1|2|2020-11-16 22:25:15|2020-09-13|f|4.5|
44|1|2|2020-11-16 22:25:42|2020-09-16|f|70|
45|1|2|2020-11-16 22:26:16|2020-09-13|f|16.09|
46|1|2|2020-11-16 22:27:08|2020-09-12|f|15|
47|1|2|2020-11-16 22:27:45|2020-09-12|f|36|
49|1|2|2020-11-16 22:43:54|2020-09-02|f|24.97|
50|4|2|2020-11-16 22:45:14|2020-08-31|t|68|
51|1|2|2020-11-16 22:46:32|2020-08-22|f|12.9|
52|1|2|2020-11-16 22:46:58|2020-08-21|f|8|
53|1|2|2020-11-16 22:47:32|2020-08-20|f|30.32|
54|1|2|2020-11-16 22:49:32|2020-08-19|f|55.14|
55|1|2|2020-11-16 22:50:09|2020-08-17|f|16|
56|1|2|2020-11-16 22:51:05|2020-08-14|f|144.41|
57|1|2|2020-11-16 22:52:41|2020-08-11|f|76|
58|1|2|2020-11-16 22:53:20|2020-08-10|f|11.17|
60|1|4|2020-11-17 20:29:07|2020-08-11|f|8.8|
61|1|2|2020-11-17 20:29:37|2020-08-07|f|40|
62|1|2|2020-11-17 20:30:06|2020-08-04|f|12.21|
63|1|2|2020-11-17 20:32:37|2020-08-01|f|5|
64|1|2|2020-11-17 20:32:53|2020-08-01|f|5|
65|1|2|2020-11-17 20:33:34|2020-08-01|f|90|
66|1|2|2020-11-17 21:19:38|2020-07-31|f|16.93|
67|1|2|2020-11-17 21:20:21|2020-07-31|f|12|
68|1|2|2020-11-17 21:22:45|2020-08-01|f|5|
69|1|2|2020-11-17 21:25:28|2020-07-31|f|7.1|
70|4|2|2020-11-17 21:26:24|2020-08-03|t|150|
71|1|2|2020-11-17 21:27:10|2020-07-25|f|2|
72|1|2|2020-11-17 21:27:43|2020-07-25|f|45|
73|1|2|2020-11-17 21:28:17|2020-07-24|f|5|
74|1|2|2020-11-17 21:28:53|2020-07-24|f|2|
76|1|2|2020-11-17 21:32:23|2020-07-22|f|38.7|
77|1|2|2020-11-17 21:34:56|2020-07-18|f|11.3|
78|1|2|2020-11-17 21:35:37|2020-07-18|f|121|
79|4|2|2020-11-17 23:13:30|2020-07-20|t|28|
80|1|2|2020-11-17 23:14:01|2020-07-17|f|9.4|
81|1|2|2020-11-17 23:14:33|2020-07-16|f|16.6|
82|1|2|2020-11-17 23:15:02|2020-07-16|f|44.46|
83|1|2|2020-11-17 23:15:45|2020-07-14|f|20|
84|1|2|2020-11-17 23:21:57|2020-07-14|f|7|
85|1|2|2020-11-17 23:22:49|2020-07-13|f|12.99|
86|1|2|2020-11-17 23:24:24|2020-07-12|f|30|
87|1|2|2020-11-17 23:25:00|2020-07-11|f|10|
88|1|2|2020-11-17 23:25:34|2020-07-12|f|13.8|
89|1|2|2020-11-30 21:36:45|2020-07-12|f|10|
90|1|2|2020-11-30 21:37:13|2020-07-10|f|8|
92|1|2|2020-11-30 21:42:32|2020-07-08|f|28|
93|1|2|2020-11-30 21:43:05|2020-07-08|f|500|
94|1|2|2020-11-30 21:44:16|2020-07-09|f|10.49|
95|1|2|2020-11-30 21:44:50|2020-07-07|f|24|
96|1|2|2020-11-30 21:45:19|2020-07-05|f|36.5|
97|1|2|2020-11-30 21:46:51|2020-07-03|f|8.8|
98|1|2|2020-11-30 21:47:20|2020-06-30|f|8.5|
99|1|2|2020-11-30 21:47:47|2020-06-29|f|17.98|
101|1|2|2020-11-30 21:50:33|2020-06-27|f|55.87|
102|2|2|2020-11-30 21:51:17|2020-06-30|f|22.56|
103|4|2|2020-11-30 21:51:45|2020-06-23|t|100|
104|1|2|2020-11-30 21:52:23|2020-06-17|f|100|
105|1|2|2020-11-30 21:52:47|2020-06-13|f|40|
106|1|4|2020-11-30 21:53:16|2020-06-16|f|7|
107|1|2|2020-11-30 21:53:46|2020-06-12|f|53.05|
108|1|2|2020-11-30 21:54:03|2020-06-11|f|20|
109|1|2|2020-11-30 21:58:09|2020-06-10|f|47.1|
111|1|2|2020-11-30 22:00:27|2020-06-06|f|20.23|
112|4|4|2020-11-30 22:00:50|2020-06-08|t|8|
113|2|2|2020-11-30 22:01:56|2020-06-05|f|9.99|
114|1|2|2020-11-30 22:02:23|2020-06-03|f|37.91|
115|1|2|2020-11-30 22:02:48|2020-06-03|f|10.67|
116|1|2|2020-11-30 22:03:21|2020-06-01|f|17.92|
117|1|2|2020-11-30 22:03:39|2020-06-04|f|8|
118|1|2|2020-11-30 22:04:05|2020-06-02|f|29.99|
119|1|2|2020-11-30 22:06:11|2020-06-02|f|31.34|
120|4|2|2020-11-30 22:06:56|2020-06-03|t|240|
121|1|2|2020-11-30 22:07:18|2020-06-01|f|153|
122|1|2|2020-11-30 22:08:00|2020-05-30|f|15.5|
123|1|2|2020-11-30 22:08:31|2020-05-30|f|54.47|
124|1|2|2020-11-30 22:08:52|2020-05-31|f|279.99|
125|1|2|2020-11-30 22:09:14|2020-05-29|f|5.55|
126|2|2|2020-11-30 22:09:40|2020-05-29|f|15|
127|4|4|2020-11-30 22:10:10|2020-05-25|t|20|
128|1|2|2020-11-30 22:10:30|2020-05-23|f|24|
130|4|2|2020-11-30 22:11:38|2020-05-14|t|14|
132|2|2|2020-11-30 22:14:47|2020-04-29|f|9.99|
133|1|2|2020-11-30 22:15:17|2020-05-01|f|17.92|
134|1|2|2020-11-30 22:15:54|2020-04-22|f|10.99|
135|4|2|2020-11-30 22:16:12|2020-04-23|t|30|
136|2|2|2020-11-30 22:16:30|2020-04-18|f|5|
138|1|2|2020-11-30 22:20:23|2020-04-14|f|50|
139|1|2|2020-11-30 22:20:50|2020-04-10|f|40.5|
140|1|2|2020-11-30 22:21:33|2020-04-06|f|194.98|
141|2|2|2020-11-30 22:23:35|2020-03-30|f|5|
142|2|2|2020-11-30 22:24:04|2020-03-29|f|10|
143|4|2|2020-11-30 22:24:23|2020-03-30|t|60|
144|2|2|2020-11-30 22:24:57|2020-03-23|f|59.99|
145|1|2|2020-11-30 22:25:24|2020-03-22|f|60|
146|4|2|2020-11-30 22:26:16|2020-03-19|t|130|
147|1|2|2020-11-30 22:27:01|2020-03-16|f|2.28|
148|1|2|2020-11-30 22:27:24|2020-03-16|f|130.34|
149|4|2|2020-11-30 22:27:39|2020-03-12|t|55|
151|1|2|2020-11-30 22:30:29|2020-03-09|f|42.26|
152|1|2|2020-11-30 22:31:00|2020-03-06|f|50.21|
153|1|2|2020-11-30 22:32:24|2020-03-04|f|20|
154|2|2|2020-11-30 22:35:17|2020-02-28|f|15|
155|1|2|2020-11-30 22:37:26|2020-03-01|f|39.46|
156|1|2|2020-11-30 22:37:56|2020-03-01|f|5|
157|1|2|2020-11-30 22:38:17|2020-03-01|f|7.5|
158|2|4|2020-11-30 22:38:49|2020-03-03|f|15|
159|1|2|2020-11-30 22:39:16|2020-02-25|f|7.5|
160|1|2|2020-11-30 22:39:40|2020-02-25|f|7.1|
161|1|2|2020-11-30 22:40:00|2020-02-25|f|39.58|
162|1|2|2020-12-24 18:57:57|2020-11-13|f|53.22|
163|1|2|2020-12-24 18:58:39|2020-11-17|f|18.07|
164|1|2|2020-12-24 18:59:10|2020-11-18|f|35.33|
165|1|2|2020-12-24 18:59:41|2020-11-20|f|55.96|
