id|id_tipo_mov|id_conto|data_ins|data_mov|dare_avere|importo|note
2312|1|7|21/04/2023 00:25:06.827|10/04/2023|f|22|
2313|7|7|21/04/2023 00:25:28.817|10/04/2023|f|18.29|
2314|1|7|21/04/2023 00:26:01.81|12/04/2023|f|10.5|
2315|1|7|21/04/2023 00:27:40.677|16/04/2023|f|13.2|
2316|1|7|21/04/2023 00:28:26.61|16/04/2023|f|3.85|
2317|1|7|21/04/2023 00:28:50.327|16/04/2023|f|9.19|
2318|1|7|21/04/2023 00:30:31.95|16/04/2023|f|20|
2319|7|7|21/04/2023 00:31:05.223|18/04/2023|f|29.9|
2320|7|7|21/04/2023 00:31:36.78|18/04/2023|f|4|
2321|2|7|21/04/2023 00:31:54.58|19/04/2023|f|13.99|
2322|7|7|21/04/2023 00:32:13.423|19/04/2023|f|6|
2323|7|7|21/04/2023 00:32:30.363|19/04/2023|f|44.89|
2324|1|7|21/04/2023 00:32:44.4|20/04/2023|f|1.35|
2743|1|7|06/02/2024 23:12:25.223|02/02/2024|f|2.18|
2744|1|7|06/02/2024 23:12:41.593|02/02/2024|f|9|
2745|7|7|06/02/2024 23:13:21.243|05/02/2024|f|35.42|
2746|8|2|11/02/2024 18:41:23.377|11/02/2024|f|88.03|
2747|7|7|11/02/2024 18:43:01.21|07/02/2024|f|1.05|
2748|1|7|11/02/2024 18:43:15.593|07/02/2024|f|2.99|
2749|1|7|11/02/2024 18:43:28.31|07/02/2024|f|1.25|
2750|1|7|11/02/2024 18:43:45.85|08/02/2024|f|1.35|
2751|1|7|11/02/2024 18:44:07.057|09/02/2024|f|1.25|
2752|1|7|11/02/2024 18:44:20.907|10/02/2024|f|1.25|
2753|1|7|11/02/2024 18:44:34.943|11/02/2024|f|6.89|
2754|7|7|11/02/2024 18:44:50.453|11/02/2024|f|13.41|
0|5|2|04/05/2020 00:00:00|01/01/2020|t|2544.8|Cifra posseduta al 31/12/2019
2|1|2|16/11/2020 00:00:28|07/11/2020|f|55.21|
3|4|4|16/11/2020 00:37:32|09/11/2020|t|58.43|In teoria � un saldo di debito
4|1|2|16/11/2020 00:46:23|06/11/2020|f|94.37|
5|2|2|16/11/2020 00:46:49|02/11/2020|f|10|
6|4|4|16/11/2020 00:47:19|02/11/2020|t|75|In teoria � un saldo di debito
7|4|2|16/11/2020 00:47:51|30/10/2020|t|150|In teoria � un saldo di debito credito
8|1|2|16/11/2020 00:48:30|25/10/2020|f|40.49|
9|1|2|16/11/2020 00:48:58|24/10/2020|f|130|
10|1|2|16/11/2020 00:49:22|24/10/2020|f|30.65|
11|4|4|16/11/2020 00:49:53|26/10/2020|t|19|In teoria � un saldo di debito
12|1|2|16/11/2020 00:50:37|23/10/2020|f|32|
13|1|2|16/11/2020 00:51:10|23/10/2020|f|380|
14|1|2|16/11/2020 00:51:40|20/10/2020|f|11.6|
15|1|2|16/11/2020 00:52:07|17/10/2020|f|14.46|
16|1|2|16/11/2020 00:52:40|11/10/2020|f|4.49|
17|4|4|16/11/2020 00:53:13|12/10/2020|t|8|In teoria � un saldo di debito
19|1|2|16/11/2020 21:07:10|21/09/2020|f|7|
20|1|2|16/11/2020 21:11:52|10/10/2020|f|3.95|
21|1|2|16/11/2020 21:12:16|09/10/2020|f|21|
22|1|2|16/11/2020 21:14:45|09/10/2020|f|18|
23|1|2|16/11/2020 21:15:40|08/10/2020|f|12.99|
24|1|2|16/11/2020 21:16:14|07/10/2020|f|60|
25|1|2|16/11/2020 21:16:43|07/08/2020|f|15.99|
26|1|2|16/11/2020 21:22:26|05/10/2020|f|7.5|
27|1|2|16/11/2020 21:25:41|04/10/2020|f|8|
28|1|2|16/11/2020 21:26:14|05/10/2020|f|10.5|
29|1|2|16/11/2020 21:28:48|05/10/2020|f|16.88|
30|2|2|16/11/2020 21:29:09|02/10/2020|f|10|
31|1|2|16/11/2020 21:29:39|01/10/2020|f|26.5|
32|1|2|16/11/2020 21:30:18|02/10/2020|f|72.88|
33|1|2|16/11/2020 21:31:04|30/09/2020|f|8.6|
34|1|2|16/11/2020 21:31:50|29/09/2020|f|20|
35|1|2|16/11/2020 22:17:50|22/09/2020|f|150|
36|1|2|16/11/2020 22:18:23|22/09/2020|f|7.5|
37|1|2|16/11/2020 22:19:05|19/09/2020|f|8|
38|1|2|16/11/2020 22:20:21|18/09/2020|f|20|
39|1|2|16/11/2020 22:21:02|18/09/2020|f|15|
40|1|2|16/11/2020 22:21:38|15/09/2020|f|6|
41|1|2|16/11/2020 22:22:02|14/09/2020|f|30|
42|1|2|16/11/2020 22:22:30|14/09/2020|f|12|
43|1|2|16/11/2020 22:25:15|13/09/2020|f|4.5|
44|1|2|16/11/2020 22:25:42|16/09/2020|f|70|
45|1|2|16/11/2020 22:26:16|13/09/2020|f|16.09|
46|1|2|16/11/2020 22:27:08|12/09/2020|f|15|
47|1|2|16/11/2020 22:27:45|12/09/2020|f|36|
49|1|2|16/11/2020 22:43:54|02/09/2020|f|24.97|
50|4|2|16/11/2020 22:45:14|31/08/2020|t|68|
51|1|2|16/11/2020 22:46:32|22/08/2020|f|12.9|
52|1|2|16/11/2020 22:46:58|21/08/2020|f|8|
53|1|2|16/11/2020 22:47:32|20/08/2020|f|30.32|
54|1|2|16/11/2020 22:49:32|19/08/2020|f|55.14|
55|1|2|16/11/2020 22:50:09|17/08/2020|f|16|
56|1|2|16/11/2020 22:51:05|14/08/2020|f|144.41|
57|1|2|16/11/2020 22:52:41|11/08/2020|f|76|
58|1|2|16/11/2020 22:53:20|10/08/2020|f|11.17|
